IIT Roorkee,Biotechnology,R4104
IIT Roorkee,Chemical Engineering,R4107
IIT Roorkee,Civil Engineering,R4109
IIT Roorkee,Computer Science and Engineering,R4110
IIT Roorkee,Electrical Engineering,R4111
IIT Roorkee,Electronics and Communication Engineering,R4114
IIT Roorkee,Mechanical Engineering,R4125
IIT Roorkee,Metallurgical and Materials Engineering,R4127
IIT Roorkee,Polymer Science and Technology,R4135
IIT Roorkee,Production and Industrial Engineering,R4136
IIT Roorkee,Pulp and Paper Engineering,R4137
IIT Roorkee,Architecture,R5101
IIT Roorkee,Chemical Engineering with M.Tech. in Hydrocarbon Engineering ,R5211
IIT Roorkee,Civil Engineering with M.Tech. in Structural Engineering,R5214
IIT Roorkee,Electrical Engineering with M.Tech. in Power Electronics,R5223
IIT Roorkee,Electronics and Communication Engineering with M.Tech. in Wireless Communication ,R5224
IIT Roorkee,Metallurgical and Materials Engineering with M.Tech. in Materials Engineering ,R5242
IIT Roorkee,Geological Technology,R5302
IIT Roorkee,Geophysical Technology,R5303
IIT Roorkee,Process Engineering with MBA,R5403
IIT Roorkee,Applied Mathematics,R5502
IIT Roorkee,Chemistry,R5503
IIT Roorkee,Physics,R5507
IIT Ropar,Computer Science and Engineering,U4110
IIT Ropar,Electrical Engineering,U4111
IIT Ropar,Mechanical Engineering,U4125
ISM Dhanbad,Chemical Engineering,S4107
ISM Dhanbad,Computer Science and Engineering,S4110
ISM Dhanbad,Electrical Engineering,S4111
ISM Dhanbad,Electronics and Communication Engineering,S4114
ISM Dhanbad,Environmental Engineering,S4119
ISM Dhanbad,Mechanical Engineering,S4125
ISM Dhanbad,Mineral Engineering,S4129
ISM Dhanbad,Mining Engineering,S4130
ISM Dhanbad,Mining Machinery Engineering,S4131
ISM Dhanbad,Petroleum Engineering,S4134
ISM Dhanbad,Mineral Engineering with M.Tech in Mineral Engineering,S5246
ISM Dhanbad,Mining Engineering with M.Tech. in Mining Engineering,S5247
ISM Dhanbad,Petroleum Engineering with M.Tech in Petroleum Management ,S5252
